pid,assessed_value
170,569082.94
171,289091.67
172,166811.88
173,182698.93
174,221305.76
175,86452.93
176,422056.39
177,57539.12
178,257159.26
179,78039.83
180,104112.21
181,62968.04
182,203446.79
183,242349.03
184,82352.31
185,140242.53
186,216541.76
187,125651.35
188,176453.97
189,469994.07
190,316944.5
191,25693.34
192,207136.39
193,11274.8
194,291804.8
195,273342.87
196,47808.18
197,165413.38
198,335404.02
199,191146.82
200,263529.41
201,173920.04
202,422051.16
203,409691.84
204,37781.35
205,108278.47
206,51144.64
207,548636.23
208,41953.36
209,225069.47
210,392970.1
211,131757.73
212,245369.98
213,286244.03
214,350871.09
215,56051.48
216,157164.43
217,90134.35
218,246521.16
219,986738.43
220,187655.04
221,236957.73
222,285845.21
223,1327985.31
224,332246.23
225,271342.72
226,309260.77
227,190995.58
228,205562.08
229,473944.16
230,198977.27
231,220966.65
232,76581.8
233,219108.91
234,181354.1
235,701004.74
236,671479.78
237,317244.79
238,855507.84
239,96561.63
240,938725.45
241,319638.16
242,1331957.81
243,137050.01
244,66224.72
245,374441.52
246,348581.45
247,154763.09
248,64801.83
249,53233.11
250,215178.96
251,173877.09
252,94408.84
253,326242.87
254,262707.36
255,46875.66
256,236350.85
257,262815.12
258,322256.65
259,236903.95
260,117938.03
261,518693.33
262,60859.32
263,341298.21
264,429965.13
265,275095.54
266,295532.97
267,366419.78
268,237323.65
269,141822.88
270,332492.2
271,91515.62
272,67232.72
273,72801.64
274,86125.41
275,229651.54
276,399663.18
277,75739.27
278,81969.71
279,322104.56
280,573626.18
281,442051.53
282,209806.22
283,522513.28
284,249865.62
285,183592.67
286,250934.72
287,73914.32
288,989266.43
289,678461.31
290,624481.49
291,169052.86
292,260592.62
293,1189718.51
294,296527.57
295,150895.69
296,62230.88
297,284550.56
298,52769.45
299,67490.97
300,165742.3
301,87496.2
302,199121.16
303,713607.51
304,327548.8
305,268956.27
306,337619.99
307,516598.71
308,161069.41
309,268202.46
310,232412.9
311,665675.06
312,778652.4
313,30954.71
314,100609.88
315,372464.88
316,258814.09
317,386105.47
318,100570.26
319,556860.54
320,334882.41
321,342485.7
322,232247.83
323,216486.42
324,110604.51
325,51166.74
326,675644.18
327,41400.85
328,300222.44
329,135292.6
330,231778.52
331,84196.29
332,42072.4
333,81834.81
334,265530.7
335,265633.53
336,130455.4
337,220237.67
338,600441.73
339,159953.49
340,328627.95
341,607742.07
342,388036.44
343,177106.08
344,77029.63
345,120954.28
346,143067.91
347,415566.51
348,80918.6
349,534589.16
350,386410.48
351,517130.08
352,248784.69
353,151605.65
354,161513.79
355,28559.66
356,156110.84
357,167143.26
358,242067.69
359,99625.21
360,254456.73
361,206827.07
362,77140.94
363,170672.14
364,247816.19
365,65045.6
366,484118.98
367,369357.74
368,189679.93
369,335358.61
370,343497.42
371,62771.14
372,221673.09
373,89720.98
374,732031.03
375,140869.46
376,337263.74
377,159184.39
378,232311.85
379,262407.39
380,262446.93
381,63994.18
382,271303.39
383,1544165.63
384,83140.49
385,234784.34
386,72888.96
387,195625.82
388,377752.06
389,547574.59
390,205745.45
391,262902.1
392,237253.5
393,210203.77
394,1227991.22
395,341090.94
396,340803.5
397,299781.27
398,38472.29
399,388051.61
400,116504
401,255735.88
402,223763.1
403,355360.34
404,286293.45
405,261157.62
406,67382.79
407,279591.33
408,258557.77
409,226615.9
410,283708.39
411,221805.68
412,609136.99
413,159757.44
414,165095.5
415,278441.56
416,318154.65
417,755952.77
418,262309.06
419,216170.15
420,228832.8
421,246213.13
422,300566.5
423,36960.74
424,249616.49
425,317857.74
426,149687.57
427,452306.67
428,227275.36
429,260655.5
430,279459.38
431,602611.31
432,242251.75
433,404668.63
434,103241.73
435,446223.59
436,114380.34
437,235771.38
438,143943.38
439,1431844.12
440,128628.14
441,317954.15
442,106436.01
443,351692.87
444,257509.47
445,540501.41
446,590662.76
447,474129.97
448,198435.29
449,284084.19
450,299593.49
451,407001.28
452,941914.32
453,213040.29
454,82464.23
455,206363.08
456,323282.61
457,249079.31
458,1451544.85
459,131602.64
460,1138914.54
461,361219.2
462,334444.84
463,126589.99
464,267689.6
465,120297.76
466,161907.98
467,733052.39
468,147489.48
469,331664.36
470,209821.63
471,274946.56
472,221969.68
473,343793.36
474,287428.5
475,128900.38
476,102259.09
477,262102.26
478,344461.87
479,58399.37
480,234795.98
481,169355.91
482,187986.42
483,122338.63
484,146471.98
485,78527.79
486,59306.64
487,603039.03
488,652805.97
489,189156.24
490,534817.61
491,144638.71
492,161621.34
493,822646.76
494,497429.66
495,985571.3
496,161065.11
497,177976.36
498,349375.21
499,102475.43
500,229825.5
501,984700.39
502,443747.4
503,739237.35
504,300317.22
505,290936.73
506,934872.22
507,118165.45
508,363005.28
509,276873.45
510,848173.73
511,783485.95
512,100264.77
513,250639.83
514,324946.18
515,372862.57
516,548496.54
517,221747.52
518,120976.43
519,167016.42
520,118464.23
521,554479.05
522,209236.15
523,89227.44
524,59572.56
525,110490.86
526,395664.86
527,300052.42
528,173993.2
529,182984.55
530,419070.36
531,273992.99
532,65346.59
533,327017.25
534,65106.6
535,325083.18
536,59974.55
537,320148.24
538,311927.79
539,189762.25
540,89843.77
541,261187.01
542,257184.28
543,631119.41
544,311325.09
545,209951.53
546,497168.34
547,269206.21
548,550331.98
549,117173.67
550,169906.26
551,114205.62
552,255233.48
553,165652.07
554,185639.56
555,26216.81
556,1316323.28
557,66445.25
558,334199.02
559,424851.74
560,603704.22
561,116937.79
562,589615.95
563,194825.61
564,148371.35
565,391447.76
566,767856.56
567,192272.5
568,172625.18
569,606761.61
570,337005.89
571,252203.39
572,378789.21
573,49083.4
574,135652.54
575,1025607.33
576,344191.95
577,963852.16
578,85466.91
579,342272.48
580,87662.16
581,442269.12
582,73755.54
583,264600.19
584,192929.88
585,331733.64
586,219029.1
587,212447.24
588,494310.43
589,284449.09
590,203947.79
591,76271.74
592,414561.09
593,285381.34
594,90335.98
595,209490.12
596,408499.56
597,199353.15
598,220493.86
599,141650.67
600,252714.29
601,353955.35
602,663208.22
603,290186.06
604,281815.64
605,265223.71
606,258001.34
607,28538.47
608,245977.5
609,84823.23
610,263743.37
611,868594.02
612,709165.16
613,217814.07
614,184543.92
615,219029.73
616,505876.81
617,106293.19
618,271798.03
619,369899.54
620,255767.35
621,306774.5
622,209596.64
623,191438.9
624,110204.83
625,171176.31
626,203227.86
627,570675.33
628,24360
629,306943.94
630,34420.23
631,502032.92
632,35661.7
633,109856.97
634,1010422.48
635,227159.22
636,490710.24
637,152696.53
638,36861.12
639,105787.95
640,544056.34
641,234785.46
642,315496.66
643,316297.12
644,305193.19
645,616123.38
646,306065.27
647,288248.44
648,348268.77
649,262775.52
650,178693.39
651,126751.26
652,326691.2
653,225860.96
654,184059.52
655,407308.42
656,1208601.38
657,254507.45
658,134400.25
659,95476.44
660,185188.48
661,129056.72
662,262997.4
663,304108.61
664,210230.83
665,247072.85
666,282326.21
667,625805.61
668,61947.19
669,747929.14
670,243981.37
671,443986.14
672,429242.82
673,375934.65
674,305537.99
675,73072.56
676,481669.46
677,262215.77
678,87385.46
679,191260.79
680,549973.11
681,252490.01
682,447726.19
683,59315.75
684,309253.99
685,257471.16
686,289622.05
687,241425.84
688,199495.98
689,309921.24
690,255161.2
691,118522.43
692,39400.9
693,88635.54
694,202903.48
695,221604.18
696,249555.79
697,219091.98
698,237177.71
699,169815.05
700,182504.41
701,122826.82
702,644561.56
703,265059.1
704,328044.6
705,63638.39
706,511910.71
707,558521.53
708,246637.56
709,27270.04
710,242025.44
711,395870.94
712,630442.65
713,272731.99
714,80045.91
715,91844.89
716,582992.97
717,217964.31
718,339182.94
719,288816.11
720,82574.09
721,263032.26
722,284062.24
723,1012610.32
724,22621.72
725,93507.15
726,278859.3
727,194643.42
728,31425.99
729,401938.99
730,130112.6
731,290055.19
732,1143459.36
733,71623.96
734,305526.34
735,183073.92
736,153955.21
737,50048.29
738,279889.06
739,123742.59
740,251626.56
741,75870.05
742,210900.34
743,468729.99
744,1528847.23
745,654511.53
746,377034.04
747,252295.28
748,29743.06
749,315592.66
750,126858.29
751,455954.59
752,52656.79
753,308635.85
754,458008.13
755,92752.04
756,452809.48
757,69651.09
758,259947.26
759,43871.42
760,869951.93
761,128264.69
762,238905.05
763,328361.98
764,678198.02
765,258216.72
766,135767.34
767,197625.48
768,175958.91
769,288070.09
770,347944.09
771,231318.11
772,31878.32
773,409097.61
774,378763.56
775,464648.29
776,1205649.69
777,820364.57
778,234220.32
779,80028.97
780,494636.28
781,206561.16
782,213165.68
783,273603.15
784,168691.14
785,53776.48
786,136251.28
787,342740.23
788,300973.52
789,140873.76
790,1266900.56
791,182781.71
792,417657.96
793,50585.68
794,438100.61
795,1512325.9
796,449824.17
797,176328.14
798,352651.07
799,274522.37
800,386720.15
801,179204.68
802,251537.07
803,181843.35
804,336952.86
805,42651.56
806,250296.58
807,236328.31
808,518793.76
809,436555.37
810,66182.17
811,550920.11
812,201721.15
813,303799.9
814,539219.95
815,183320.61
816,331280.91
817,249242.79
818,152128.64
819,144210.36
820,524778
821,44854.65
822,199342.13
823,327789.41
824,123034.44
825,218082.82
826,131104.45
827,352489.67
828,224648.95
829,373402.03
830,314062.32
831,185650.89
832,505085.74
833,129080.97
834,644734.93
835,192405.66
836,174997.33
837,794490.93
838,253652.34
839,181869.54
840,565963.28
841,293829.65
842,189190.88
843,73648.07
844,219535.18
845,149956.33
846,182766.89
847,297612.35
848,474886.59
849,132378.41
850,289580.07
851,536989.18
852,209156.35
853,199085.65
854,64955.15
855,199895.54
856,506693.76
857,149474.16
858,23978.53
859,193409.78
860,36010.5
861,141378.73
862,311532.1
863,177170.1
864,309412.4
865,522295.56
866,294724.35
867,63336.27
868,314283.44
869,255773.93
870,202622.9
871,262051.03
872,253335.16
873,262392.88
874,94996.16
875,624491.02
876,283741.68
877,309028.45
878,1249954.97
879,318413.87
880,151570.38
881,320188.85
882,154357
883,66674.21
884,420455.86
885,221416.59
886,37599.07
887,43377.38
888,243046.63
889,81734.36
890,162926.39
891,1300161.59
892,819817.1
893,356712.06
894,261376.14
895,46425.03
896,126817.4
897,148050.64
898,70367.89
899,237269.56
900,112792.44
901,617080.11
902,69173.95
903,67772.5
904,791292.38
905,113440.67
906,653562.82
907,282835.27
908,184473.19
909,333189.89
910,74118.18
911,982797.77
912,153108.03
913,421539.49
914,45660.32
915,35370.44
916,339726.48
917,305541.2
918,190814.61
919,1505950.14
920,225905.12
921,164904.78
922,337196.53
923,130510.15
924,249290.81
925,581854.31
926,350821.57
927,92987.01
928,211237.5
929,820035.26
930,45624.14
931,325742.02
932,31749.25
933,94885.51
934,242396.88
935,173066.12
936,492692.37
937,229192.51
938,54113.6
939,148608.55
940,153415.7
941,189328.78
942,269849.33
943,85213.96
944,27542.83
945,64679.03
946,308085.93
947,110374.9
948,28891.68
949,354534.39
950,287012.15
951,344695.19
952,1241669.2
953,280338.65
954,883492.42
955,415153.36
956,265868.98
957,169954.39
958,472150.01
959,205759.39
960,33998.88
961,112415.51
962,616721.24
963,208546.27
964,260374.76
965,136879.03
966,436051.9
967,170855.51
968,199497.51
969,126664.86
970,555767.09
971,182084.56
972,357651.53
973,232760.92
974,96241.51
975,1411608.19
976,44658.91
977,170102.43
978,724920.54
979,369461.32
980,169858.46
981,199795.86
982,76525.29
983,191547.37
984,204415.32
985,38176.46
986,225144.82
987,1527821.13
988,83492.72
989,279181.28
990,23856.23
991,694961.36
992,496889.63
993,363989.44
994,71649.85
995,33735.91
996,315362.5
997,214572.4
998,68542.29
999,185809.42
1000,257224.75
1001,349186
1002,78183
1003,93406.08
1004,267966.48
1005,456233.84
1006,289787.83
1007,460821.37
1008,688146.62
1009,205274.69
1010,44246.17
1011,1333789.5
1012,286639.31
1013,480419.34
1014,104306.3
1015,393958.47
1016,490416.44
1017,237857.25
1018,45435.35
1019,245033.71
1020,167991.18
1021,203311.8
1022,418565.1
1023,217878.89
1024,224335.52
1025,113974.84
1026,141776.5
1027,493432.03
1028,172354.42
1029,92899.35
1030,111462.42
1031,403826.27
1032,217378.91
1033,57014.25
1034,95155.92
1035,222206.47
1036,296122.33
1037,68551.7
1038,463865.51
1039,21112.82
1040,323417.98
1041,292447.79
1042,100815.33
1043,33931.12
1044,432998.23
1045,70449.41
1046,295550.73
1047,323237.6
1048,243587.76
1049,399340.1
1050,226686.14
1051,56128.13
1052,372635.42
1053,177773.14
1054,869460.09
1055,388553.38
1056,30898.41
1057,265398.29
1058,632346.63
1059,540101.56
1060,326345.87
1061,376817.64
1062,358706.35
1063,141912.85
1064,738032.8
1065,72233.23
1066,1006641.6
1067,554910.71
1068,601722.91
1069,60077.59
1070,287225.72
1071,755718.5
1072,334909.24
1073,296314.7
1074,177531.54
1075,354317.39
1076,420100.74
1077,609228.79
1078,608840.8
1079,67992.22
1080,57060.59
1081,253023.21
1082,394267.8
1083,291957.62
1084,259907.11
1085,289017.8
1086,262448.19
1087,230718.85
1088,57287.31
1089,128510.55
1090,238427.3
1091,231758.85
1092,348922.36
1093,606695.65
1094,283004.45
1095,393044.31
1096,604904.09
1097,186163.1
1098,187602.97
1099,495390.67
1100,256998.19
1101,324696.5
1102,327664.08
1103,1451431.34
1104,796142.12
1105,332675.85
1106,330707.04
1107,260937.29
1108,150600.11
1109,153257.04
1110,126240.61
1111,226739.98
1112,91073.07
1113,293584.56
1114,304429.25
1115,713887.27
1116,594076.04
1117,35240.75
1118,78094.4
1119,478634.45
1120,209305
1121,220976.13
1122,414377.68
1123,342181.1
1124,272348.88
1125,234361.76
1126,227139.29
1127,206275.52
1128,190686.91
1129,728237.54
1130,51275.23
1131,95067.48
1132,243524.58
1133,321710.69
1134,327181.96
1135,322505.07
1136,198996.05
1137,80312.24
1138,935738.32
1139,475414.04
1140,28637.11
1141,424671.88
1142,94615.15
1143,1124220
1144,233163.71
1145,63199.72
1146,72280.16
1147,93837.32
1148,283800.67
1149,229116.24
1150,35003.24
1151,170959.33
1152,639047.43
1153,231860.55
1154,18054.79
1155,244743.18
1156,461641.72
1157,91725.58
1158,576968.52
1159,232602.92
1160,58415.36
1161,112557.97
1162,89359.86
1163,387733.85
1164,342117.79
1165,108786.99
1166,125183.68
1167,319324.34
1168,399874.39
1169,203371.91
1170,275795.86
1171,260355.64
1172,85750.05
1173,263014.95
1174,678507.9
1175,248115.1
1176,143227.5
1177,216328.74
1178,227558.39
1179,218139.19
1180,26142.79
1181,174457.94
1182,461756.64
1183,36638.43
1184,225203.23
1185,411571.17
1186,859444.49
1187,1032465.09
1188,219354.36
1189,298124.82
1190,235451.41
1191,235751.36
1192,160766.16
1193,428101.01
1194,123897.4
1195,49354.1
1196,265617.57
1197,121469.15
1198,715222.23
1199,208033.58
1200,245749.12
1201,183640.47
1202,116275.23
1203,34148.95
1204,38771.41
1205,147920.66
1206,273292.04
1207,227413.69
1208,85184.3
1209,201192.62
1210,318891.59
1211,64687.91
1212,224466.92
1213,358940.76
1214,118894.78
1215,195494.52
1216,274478.92
1217,336917.2
1218,1247671.9
1219,148048.95
1220,74583.75
1221,409364.95
1222,141736.89
1223,247793.27
1224,94014.95
1225,229265.74
1226,483456.91
1227,152454.7
1228,504503.72
1229,256437.54
1230,828570.84
1231,249119.69
1232,113176.35
1233,92040.77
1234,198151.06
1235,67708.03
1236,274518.97
1237,102342.99
1238,769346.74
1239,704102.85
1240,154035.69
1241,224384.09
1242,170611.43
1243,498040.57
1244,429262.88
1245,39433.79
1246,283487.7
1247,134859.38
1248,237153.96
1249,87216.53
1250,474953.62
1251,133168.79
1252,696510.64
1253,388616.38
1254,82188.73
1255,884310.09
1256,225724.01
1257,47014.98
1258,258627.56
1259,376064.46
1260,148031.02
1261,313833.28
1262,399423.13
1263,1188191.18
1264,50340.05
1265,399249.47
1266,23669.11
1267,103164.47
1268,45911.3
1269,645981.23
1270,173717.64
1271,226259.15
1272,111507.82
1273,348539.57
1274,268309.14
1275,293273.39
1276,364695.49
1277,366485.48
1278,216806.87
1279,270309.6
1280,181983.7
1281,120459.17
1282,722450.46
1283,339469.66
1284,414016.25
1285,308496.95
1286,827029.04
1287,403177.87
1288,32019.78
1289,262084.02
1290,124868.43
1291,219511.73
1292,234323.76
1293,57516.19
1294,222459.85
1295,224408.7
1296,155520.32
1297,276835.69
1298,364545.27
1299,887714.46
1300,562153.16
1301,51587.87
1302,131442.34
1303,305192.61
1304,312888.63
1305,216182.93
1306,191531.48
1307,108557.63
1308,231173.22
1309,324131.87
1310,329266.98
1311,29181.69
1312,599836.19
1313,256872.48
1314,565610.4
1315,214520.84
1316,257193.84
1317,249079.31
1318,198125.56
1319,484927.62
1320,113068.9
1321,290253.32
1322,309154.61
1323,267357.93
1324,759072.17
1325,280608.54
1326,182600.16
1327,220709.71
1328,462894.18
1329,50235.64
1330,1015562.9
1331,517819.01
1332,292844.66
1333,309193.53
1334,268473.46
1335,38221.82
1336,310974.94
1337,193744.29
1338,281045.35
1339,47973.69
1340,212843.5
1341,1185558.4
1342,398655.17
1343,601834.25
1344,425417.33
1345,100987.96
1346,96691.56
1347,131500.52
1348,1002868.18
1349,517681.25
1350,114393.43
1351,164316.09
1352,122012.27
1353,957207.28
1354,336876.71
1355,196141.78
1356,316682.55
1357,178637.67
1358,310243.57
1359,84997.98
1360,299334.75
1361,231105.55
1362,331149.51
1363,65931.75
1364,120835.07
1365,286327.31
1366,259357.67
1367,283860.49
1368,532010.08
1369,184850.76
1370,345492.95
1371,200431.56
1372,372139.65
1373,303918.42
1374,122182.27
1375,478540.89
1376,205781.17
1377,275594.99
1378,222090.37
1379,124394.9
1380,167185.35
1381,788287.1
1382,361468.69
1383,578461.05
1384,223415.32
1385,355858.19
1386,272053.47
1387,273318.1
1388,55549.07
1389,718677.83
1390,628322.66
1391,1091763.74
1392,262408.39
1393,42811.75
1394,129715.14
1395,520441.95
1396,59901.16
1397,303274.5
1398,93968.69
1399,320645.38
1400,54667.06
1401,312122.4
1402,219260.04
1403,60990.98
1404,170275.94
1405,76090.19
1406,185636.91
1407,299695.51
1408,563148.52
1409,1077757.72
1410,407184.14
1411,1091970.95
1412,584153.91
1413,406549.34
1414,120348.71
1415,193703.64
1416,301286.83
1417,562644.45
1418,231214.67
1419,306873.11
1420,28297.97
1421,191111.46
1422,129811.79
1423,70201.12
1424,278341.46
1425,180093.52
1426,296882.97
1427,446143.17
1428,323074.26
1429,72869.92
1430,337785.53
1431,273715.89
1432,69736.84
1433,324808.92
1434,968964.48
1435,169542.55
1436,210024.43
1437,148847.83
1438,384147.48
1439,487168.79
1440,148846.98
1441,636683.52
1442,337642.85
1443,193192.43
1444,226342.02
1445,396944.97
1446,179776.41
1447,41702.61
1448,402894.97
1449,206503.84
1450,303708.65
1451,458975.77
1452,300030.95
1453,197637.16
1454,112661.18
1455,228625.35
1456,171618.46
1457,278154.92
1458,49618.66
1459,293642.81
1460,306957.4
1461,639499.19
1462,251469.91
1463,590653.19
1464,542330.27
1465,286132.95
1466,163839.78
1467,157580.9
1468,259414.82
1469,287574.91
1470,176325.62
1471,1479785.87
1472,183747.68
1473,227817.88
1474,489784.98
1475,266440.84
1476,194684.64
1477,132358.09
1478,1408618.73
1479,450891.46
1480,72265.68
1481,89232.8
1482,107627.2
1483,316119.5
1484,39774.62
1485,382321.9
1486,236181.86
1487,392384.03
1488,65818.23
1489,289326.39
1490,92510.87
1491,26656.35
1492,420256.22
1493,35530.49
1494,293463.92
1495,304208.1
1496,73364.79
1497,147176.29
1498,166088.5
1499,65337.49
1500,292130.3
1501,266018.36
1502,231113.48
1503,147273.03
1504,97861.66
1505,179054.18
1506,169542.71
1507,226340.94
1508,181998.97
1509,70108.06
1510,70619.66
1511,336388.41
1512,67600.93
1513,195141.17
1514,135963.9
1515,332075.17
1516,89937.81
1517,150223.14
1518,449871.79
1519,563561.13
1520,97381.55
1521,333233.43
1522,1631857
1523,438490.59
1524,297668.27
1525,222443.09
1526,80003.86
1527,319462.01
1528,180247.82
1529,56679.86
1530,494631.56
1531,307683.66
1532,286917.73
1533,170877.51
1534,188384.3
1535,253757.1
1536,277513.44
1537,200457.17
1538,406490.03
1539,132647.59
1540,91130.67
1541,410355.81
1542,100402.08
1543,240630.98
1544,471114.16
1545,64879.62
1546,620351.36
1547,197269.78
1548,242435.95
1549,74101.22
1550,189611.2
1551,195303.89
1552,488109.12
1553,151982.18
1554,138631.66
1555,45833.21
1556,92972.56
1557,463481.24
1558,48895.49
1559,821781.08
1560,1023023.53
1561,26793.57
1562,210743.31
1563,171485.13
1564,278185.16
1565,1430074.14
1566,291758.89
1567,232064.51
1568,574313.14
1569,231987.06
1570,1119777.28
1571,277740.88
1572,304117.02
1573,195231.82
1574,310217.24
1575,274532.32
1576,237207.8
1577,114410.78
1578,474706.38
1579,310048.95
1580,250395.66
1581,96580.69
1582,164239.32
1583,281324.77
1584,830685.71
1585,128010.39
1586,134523.48
1587,540731.88
1588,261561.91
1589,558191.91
1590,342097.89
1591,496642.8
1592,215338.47
1593,218666.57
1594,842434.8
1595,98186.42
1596,73735.63
1597,45202.57
1598,195910.16
1599,1092263.62
1600,105042.11
1601,295198.89
1602,194644.35
1603,176545.2
1604,135431.88
1605,230315.89
1606,59923.1
1607,99133.61
1608,971183.87
1609,20056.97
1610,235464.21
1611,586326.14
1612,307118.45
1613,215812.97
1614,59289.68
1615,1056735.62
1616,110427.23
1617,470258.59
1618,336363.07
1619,257922.37
1620,496259.3
1621,342504.32
1622,352322.3
1623,112138.4
1624,675767.91
1625,28788.81
1626,638993.8
1627,335972.59
1628,262860.74
1629,61905.79
1630,95944.14
1631,347284.72
1632,313793.18
1633,130884.08
1634,803135.84
1635,495641.6
1636,177142.39
1637,267043.99
1638,268745
1639,263160.73
1640,83673.91
1641,166701.51
1642,294117.02
1643,144506.35
1644,76912.48
1645,349790.27
1646,205063.57
1647,367701.68
1648,31294.43
1649,484360.04
1650,212117.05
1651,274943.94
1652,76027.3
1653,128362.22
1654,422500.18
1655,236182.98
1656,378904.46
1657,248862.29
1658,189771.3
1659,856764.39
1660,235387.42
1661,158336.37
1662,238936.73
1663,246928.92
1664,385730.44
1665,207274.71
1666,190144.12
1667,345677.84
1668,167427.71
1669,272428.63
1670,169203.02
1671,49031.05
1672,242440.57
1673,284096.65
1674,577772.43
1675,138949.99
1676,29040.43
1677,348570.81
1678,121121.66
1679,34867
1680,581733.36
1681,312725.75
1682,138899.51
1683,106051.5
1684,126655.2
1685,625599.75
1686,212634.94
1687,38526
1688,207779.59
1689,210448.08
1690,266702.18
1691,588546.86
1692,233856.06
1693,303115.18
1694,160125.5
1695,277022.14
1696,131780.98
1697,219347.67
1698,280425.56
1699,247558.72
1700,97218.14
1701,219279.07
1702,46732.29
1703,33167.97
1704,100053.29
1705,264346.71
1706,174972.8
1707,197568.19
1708,224992.43
1709,253239.02
1710,406464.44
1711,62285.86
1712,172729.92
1713,174044.98
1714,753225.36
1715,164443.85
1716,313728.54
1717,175426.43
1718,83177.69
1719,197391.16
1720,191478.33
1721,701593.96
1722,273956.67
1723,41645.1
1724,39644.2
1725,727100.14
1726,405825.35
1727,48917.37
1728,280589.01
1729,50828.82
1730,253508.93
1731,263701.12
1732,1528627.09
1733,206971.51
1734,68432.89
1735,178992.21
1736,369413.76
1737,196319.57
1738,221840.16
1739,184805.81
1740,40667.52
1741,291864.36
1742,57881.17
1743,100519.25
1744,143928.83
1745,655035.43
1746,981085.93
1747,326488.13
1748,185109.03
1749,187213.35
1750,479804.88
1751,210434.23
1752,1111760.53
1753,628030.31
1754,114924.64
1755,79207.72
1756,337189.13
1757,827357.21
1758,235702.13
1759,518776.94
1760,57036.82
1761,367337.52
1762,82866.52
1763,57450.79
1764,1345449.73
1765,400561.41
1766,278572.5
1767,1261854.27
1768,64919.24
1769,324942.77
1770,195443.81
1771,278893.88
1772,75366.4
1773,43899.83
1774,545719.21
1775,153682.65
1776,466481.55
1777,240299.6
1778,220899.01
1779,1019937.4
1780,126607.38
1781,57688.62
1782,363426.49
1783,225595.75
1784,179579.01
1785,224524.29
1786,341063.29
1787,147197.21
1788,240087.49
1789,521563.37
1790,278990.97
1791,163155.12
1792,510234.07
1793,27408.64
1794,208597.59
1795,75518.5
1796,345041.84
1797,282747.08
1798,171179.25
1799,103985.8
1800,319000.48
1801,320546.32
1802,49962.69
1803,939587.06
1804,254793.53
1805,76349.61
1806,407065.33
1807,158724.77
1808,240426.36
1809,179489.63
1810,637013.91
1811,27368.34
1812,89356.79
1813,560509.7
1814,56429.33
1815,383062.41
1816,134946.48
1817,112671.81
1818,270135.91
1819,210156.67
1820,152554.03
1821,787860.21
1822,223852.53
1823,312099.18
1824,287317.5
1825,76948.28
1826,741629.02
1827,182688.65
1828,30640.07
1829,929398.06
1830,198602.46
1831,289971.67
1832,263630.96
1833,629920.39
1834,366643.14
1835,1234026.64
1836,838297
1837,242210.63
1838,223081.05
1839,94621.38
1840,341076.63
1841,169658.68
1842,53224.17
1843,279949.12
1844,177455.54
1845,161213.55
1846,132724.9
1847,273706.5
1848,209851.05
1849,188559.36
1850,58914.24
1851,239032.22
1852,345891.53
1853,647404.04
1854,126429.41
1855,234558.07
1856,893569.23
1857,331989.04
1858,707454.12
1859,210002.8
1860,290597.87
1861,400790.3
1862,75296.79
1863,265576.28
1864,98181.27
1865,180423.24
1866,45070.38
1867,161708.14
1868,239024.01
1869,144997.52
1870,1299201
